pid,bc,dir,yds,succ,kne
694407,CW-1450,MD,2,0,0
694408,CW-1450,MD,4,0,0
694412,LM-1850,MD,2,0,0
694419,AS-1600,NL,-1,0,1
694421,LM-1850,MD,1,0,0
694427,CW-1450,RG,3,1,0
694430,SW-0350,MD,-2,0,0
694433,LM-1850,MD,6,0,0
694438,CW-1450,MD,6,1,0
694439,AS-1600,RE,5,0,0
694445,LM-1850,MD,2,0,0
694448,RH-1600,LE,0,0,0
694452,SW-0350,MD,6,1,0
694456,SW-0350,MD,3,1,0
694466,SW-0350,LE,7,1,0
694467,SW-0350,MD,14,1,0
694468,SW-0350,MD,9,1,0
694469,CW-1450,RT,4,1,0
694470,CW-1450,MD,4,1,0
694471,AS-1600,RE,11,1,0
694472,SW-0350,MD,6,1,0
694473,SW-0350,LE,3,1,0
694474,SW-0350,MD,2,1,0
694475,CW-1450,RE,-1,0,0
694476,SW-0350,MD,2,0,0
694481,DC-0725,MD,7,1,0
694483,RH-1600,MD,3,1,0
694488,SW-0350,MD,4,1,0
694489,SW-0350,MD,-1,0,0
694490,AS-1600,MD,2,0,0
694504,DB-4800,RT,2,0,0
694506,JH-3450,LE,13,1,0
694508,DB-4800,LT,2,0,0
694510,DB-4800,RT,4,1,0
694515,RH-2350,LT,13,1,0
694516,RH-2350,RT,1,0,0
694517,CA-0750,RT,11,1,0
694518,CA-0750,MD,3,0,0
694520,DB-4800,MD,5,1,0
694521,DB-4800,MD,-1,0,0
694527,CA-0750,MD,6,1,0
694530,DB-4800,RT,1,0,0
694532,DB-4800,LG,1,1,0
694533,DB-4800,LT,8,1,0
694534,DB-4800,LT,-2,0,0
694540,RH-2350,MD,21,1,0
694541,RH-2350,LG,-1,0,0
694544,DW-4300,LG,4,0,0
694547,RH-2350,LT,4,1,0
694548,RH-2350,LT,2,0,0
694550,CA-0750,MD,0,0,0
694554,DB-4800,LT,0,0,0
694561,DB-4800,MD,4,0,0
694565,RH-2350,LG,-2,0,0
694569,DB-4800,LT,3,0,0
694573,PR-0300,MD,5,0,0
694582,RH-2350,MD,7,0,0
694584,DB-4800,RT,5,1,0
694585,DB-4800,RT,2,0,0
694587,DW-4300,MD,4,1,0
694588,DW-4300,RG,1,0,0
694592,CA-0750,MD,6,0,0
694593,DB-4800,LT,20,1,0
694596,DB-4800,LT,0,0,0
694597,DB-4800,MD,2,0,0
694601,RH-2350,LT,6,1,0
694602,RH-2350,MD,4,1,0
694605,CA-0750,LT,27,1,0
694607,CA-0750,LT,17,1,0
694608,CA-0750,RT,0,0,0
694609,CA-0750,LG,1,1,0
694613,DB-4800,MD,3,1,0
694618,DW-4300,MD,3,0,0
694621,RH-2350,LT,9,1,0
694622,CA-0750,LT,7,1,0
694626,RH-2350,LT,5,0,0
694636,RH-2350,RT,23,1,0
694638,CA-0750,MD,3,0,0
694640,CA-0750,RG,-1,0,0
694649,RH-2350,MD,2,0,0
694652,DW-4300,MD,-1,0,0
694653,DB-4800,LG,4,0,0
694655,RH-2350,RT,23,1,0
694659,DB-4800,MD,6,1,0
694661,DB-4800,MD,12,1,0
694664,PR-0300,MD,0,0,0
694668,CA-0750,LE,0,0,0
694669,CA-0750,RG,3,0,0
694670,CA-0750,LG,12,1,0
694671,PM-0200,NL,-1,0,1
694672,PM-0200,NL,-1,0,1
694676,DJ-1325,MD,1,0,0
694680,TL-1025,LE,8,1,0
694682,CM-2280,MD,1,0,0
694684,CM-2280,RT,1,0,0
694686,CM-2280,RE,45,1,0
694687,BB-3350,MD,3,0,0
694689,CM-2280,MD,0,0,0
694690,RW-3850,RT,0,0,0
694691,BB-3350,MD,1,1,0
694694,DJ-1325,MD,0,0,0
694696,CM-2280,RE,5,1,0
694702,DJ-1325,LE,0,0,0
694704,DJ-1325,RT,5,1,0
694705,DJ-1325,LE,2,0,0
694706,DJ-1325,RT,1,0,0
694709,DJ-1325,MD,2,0,0
694711,DJ-1325,LE,2,0,0
694715,TL-1025,RE,-1,0,0
694718,CM-2280,LT,9,1,0
694719,CM-2280,MD,0,0,0
694720,CM-2280,MD,2,1,0
694722,RW-3850,RE,9,1,0
694723,BB-3350,MD,3,1,0
694724,BB-3350,MD,0,0,0
694729,DJ-1325,LE,5,0,0
694743,CM-2280,MD,3,0,0
694767,CM-2280,RE,12,1,0
694768,CM-2280,RT,-2,0,0
694771,RW-3850,RE,6,1,0
694772,CM-2280,MD,12,1,0
694773,CM-2280,RE,0,0,0
694778,DJ-1325,RT,3,0,0
694779,DJ-1325,RE,4,0,0
694782,BB-3350,MD,0,0,0
694783,RW-3850,RE,7,1,0
694786,BB-3350,MD,3,0,0
694791,AE-0750,MD,3,1,0
694796,CM-2280,MD,1,0,0
694797,CM-2280,RE,4,0,0
694798,RW-3850,LE,-9,0,0
694806,BB-3350,MD,5,1,0
694808,CM-2280,LT,8,1,0
694809,CM-2280,MD,1,0,0
694811,AE-0750,MD,-1,0,0
694824,KW-1175,LE,5,1,0
694825,BB-3350,MD,3,1,0
694827,BB-3350,MD,0,0,0
694828,BB-3350,MD,2,0,0
694832,TJ-0300,NL,-1,0,1
694833,TJ-0300,NL,-1,0,1
694836,TM-0650,RT,4,1,0
694837,TM-0650,RG,-2,0,0
694842,DH-1700,LG,-3,0,0
694846,TA-1050,RE,13,1,0
694848,TM-0650,MD,5,0,0
694852,MD-0150,RT,13,1,0
694854,MD-0150,MD,0,0,0
694857,TM-0650,RG,2,0,0
694859,TM-0650,LT,-1,0,0
694862,DH-1700,RG,5,1,0
694864,DH-1700,MD,3,0,0
694867,DH-1700,LG,-2,0,0
694872,TA-1050,LE,7,1,0
694874,TM-0650,LT,4,1,0
694875,TM-0650,RE,2,0,0
694880,DH-1700,LG,7,1,0
694881,DH-1700,MD,47,1,0
694882,MD-0150,LE,1,0,0
694887,TA-1050,RE,4,1,0
694888,MB-3862,MD,13,1,0
694889,MB-3862,MD,4,1,0
694891,MB-3862,LG,2,0,0
694895,MB-3862,RG,-2,0,0
694900,MD-0150,LG,4,1,0
694903,TM-0650,MD,-1,0,0
694904,TM-0650,RE,4,1,0
694915,BC-3070,MD,40,1,0
694920,DH-1700,RE,1,0,0
694921,DH-1700,MD,-1,0,0
694923,DH-1700,LT,-1,0,0
694925,BG-0100,RE,9,1,0
694926,DH-1700,RE,0,0,0
694928,MD-0150,MD,-1,0,0
694934,TM-0650,RE,0,0,0
694936,TM-0650,MD,2,0,0
694938,CK-0250,RG,2,1,0
694940,TM-0650,MD,3,0,0
694942,TA-1050,RE,4,1,0
