uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
99136,4235,693637,JAC,9,DWNS,3,1,4,34,3,0,0,0,0,3,1,0,2,0,0,0,3,PUNT
99137,4235,693641,HOU,10,PUNT,3,0,11,13,1,0,0,0,0,0,0,0,1,0,0,0,0,INT
99138,4235,693642,JAC,10,INT,3,1,51,87,4,1,0,0,0,0,1,-3,2,1,0,0,-3,FG
99139,4235,693647,HOU,11,KOFF,3,4,29,20,9,4,1,2,0,16,3,47,5,3,0,15,48,MFG
99140,4235,693658,JAC,11,MFG,4,1,58,40,3,2,0,3,0,0,0,50,3,2,0,10,40,FUM
99141,4235,693662,HOU,12,FUM,4,5,52,25,11,6,2,1,1,29,7,18,3,3,0,5,42,FG
99142,4235,693675,JAC,12,KOFF,4,0,15,21,1,0,0,0,0,0,0,0,1,0,0,0,0,INT
99143,4235,693678,JAC,13,KOFF,4,3,9,20,11,7,0,4,0,0,0,57,11,7,0,5,52,ENDQ
99144,4236,693691,IND,1,KOFF,1,6,3,20,13,6,2,2,0,26,5,23,7,4,0,0,49,FG
99145,4236,693705,TEN,1,KOFF,1,1,35,20,3,0,0,0,0,7,1,13,2,1,0,15,5,PUNT
99146,4236,693709,IND,2,PUNT,1,2,4,13,3,0,0,0,0,2,1,5,2,2,0,0,7,PUNT
99147,4236,693713,TEN,2,PUNT,1,1,35,45,3,1,0,0,0,4,1,-9,2,0,0,0,-5,PUNT
99148,4236,693717,IND,3,PUNT,1,1,18,8,3,0,0,0,0,1,2,0,1,0,0,0,1,INT
99149,4236,693720,TEN,3,INT,1,0,4,95,1,1,1,0,0,5,1,0,0,0,0,0,5,TD
99150,4236,693723,IND,4,KOFF,1,2,9,31,4,2,0,2,0,3,1,66,3,3,15,0,69,TD
99151,4236,693729,TEN,4,KOFF,1,4,47,20,11,4,2,2,1,40,5,25,6,4,15,0,80,TD
99152,4236,693742,IND,5,KOFF,2,3,56,20,7,3,2,0,1,41,5,0,1,0,5,0,46,FG
99153,4236,693751,TEN,5,KOFF,2,1,30,20,3,2,0,0,0,9,2,0,1,0,0,0,9,PUNT
99154,4236,693755,IND,6,PUNT,2,2,17,17,6,3,1,1,0,17,2,14,4,1,0,0,31,PUNT
99155,4236,693762,TEN,6,PUNT,2,1,3,2,3,0,0,0,0,7,2,0,1,0,0,0,7,PUNT
99156,4236,693766,IND,7,PUNT,2,1,26,42,8,6,0,4,0,0,0,58,8,6,0,0,58,TD
99157,4236,693776,TEN,7,KOFF,2,0,13,20,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
99158,4236,693778,TEN,8,KOFF,3,0,41,35,3,0,0,0,0,5,1,0,2,0,0,10,-5,INT
99159,4236,693783,TEN,9,KOFF,3,6,49,20,11,5,1,2,0,36,6,13,4,3,0,0,49,FG
99160,4236,693795,IND,8,KOFF,3,3,35,20,8,3,1,1,0,9,3,22,5,2,5,0,36,PUNT
99161,4236,693805,TEN,10,PUNT,3,2,44,15,4,3,0,1,0,9,3,16,1,1,0,0,25,PUNT
