tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd
8469,4235,JAC,6,0,3,3,0,1,9,1,32,14,183,32,17,8,2,2,5,251,4,50,5,104,1,15,53,24.5,0,0,0,0,2,2,77,3,0,0,126,3,0,2,1,14,10,3,1,1,1,3,5,2,6,5,15,1,-2,2,7,0,0,7,5,6,23,1,4,0,0,5,91,8,64,13,39,3,23,0,0,3,22,14,125,8,35,8,75,2,4,39,199,17,169,10,38,13,-24,4,7,6,4,12,8,2,0,0,0,0,1,0,6,-22,56,0,0.5,452,13,233,0,3,0,8.5,2,10.5,3.5,11,18.5,0,1,1,7,0,5,0,0,5,1,2,0,1,0,57,76
8470,4235,HOU,30,3,17,0,10,9,13,3,160,31,242,41,25,2,1,0,4,190,4,18,0,0,2,27,55,35.5,3,1,1,1,3,4,131,3,2,94,67,15,11,1,3,19,7,7,5,3,43,6,27,3,6,10,34,1,2,5,32,3,16,18,109,9,5,4,46,0,0,20,143,5,46,13,60,0,0,1,0,2,0,15,95,10,56,6,41,10,57,43,254,16,85,13,83,14,66,6,16,3,5,23,13,76,0,0,0,0,3,9,6,14,7,3.5,0,290,12,140,0,0,0,7.5,5.5,4,7,2.5,12.5,0,3,2,9,1,8,7,5,1,1,1,0,0,1,76,57
8471,4236,TEN,24,7,7,3,7,4,8,2,138,28,94,27,15,4,1,0,6,300,2,9,0,0,1,5,60,26.5,3,2,1,0,1,1,49,3,3,48,29,13,8,4,1,8,3,1,4,6,33,5,15,0,0,8,29,1,-1,2,8,4,54,13,79,11,58,2,1,1,5,9,26,6,59,7,7,1,16,1,0,1,29,2,19,6,21,15,94,2,3,22,147,10,29,7,7,14,58,6,5,4,4,16,4,4,1,2,9,6,5,16,4,14,43,1,0,376,14,282,0,4,0,6,0,16.5,9,6.5,11,1,5,2,8,2,4,0,0,2,1,1,1,1,0,58,71
8472,4236,IND,30,10,10,7,3,8,11,1,130,36,200,38,21,1,1,0,5,216,4,18,1,35,1,23,71,33.5,3,0,2,1,3,3,136,2,1,48,57,13,7,3,3,17,4,9,4,2,16,1,2,0,0,11,34,5,26,6,24,4,29,15,74,10,38,4,19,5,28,4,37,10,61,16,34,2,0,3,57,2,18,13,90,11,26,8,91,5,0,46,274,14,87,13,90,12,23,8,9,4,9,32,13,94,9,29,6,13,2,5,3,18,7,2,0,315,12,207,0,2,0,9.5,2,8.5,4.5,6,11.5,3,3,2,8,2,4,7,0,1,2,0,1,3,0,71,58
8473,4237,WAS,34,21,3,3,7,8,11,0,149,39,291,26,19,1,0,0,4,200,2,6,0,0,2,25,20,34,4,0,4,0,2,2,60,5,2,62,232,13,5,6,2,14,6,2,6,0,0,5,16,6,15,10,31,3,7,5,34,4,46,18,77,12,59,3,13,0,0,10,48,3,10,8,82,2,39,0,0,3,114,11,158,7,78,5,45,3,12,23,259,8,99,7,23,12,158,8,5,6,7,25,10,114,0,0,0,0,5,19,7,13,13,2,0,401,13,194,0,4,0,1,2,6.5,12,7.5,17,1,3,2,8,4,6,0,1,3,0,0,1,0,0,65,68
8474,4237,DAL,23,0,14,0,9,5,22,0,100,16,412,48,33,4,2,2,5,231,2,6,3,70,0,0,44,26,3,0,3,0,0,0,0,4,3,64,208,8,3,3,2,28,18,8,2,3,35,7,48,0,0,4,11,1,4,1,2,0,0,8,54,6,24,2,22,1,0,16,82,10,71,12,120,3,22,1,0,6,140,9,173,19,124,11,86,9,52,48,427,28,275,15,91,9,46,6,16,11,7,31,8,17,0,0,0,0,1,3,10,36,23,0,1,222,12,225,0,1,0,8.5,2.5,11.5,4,13,8.5,15,1,1,8,3,2,2,0,2,0,0,0,1,2,68,65
8475,4238,PHI,35,14,7,7,7,7,16,0,122,28,315,38,30,1,1,1,3,124,0,0,2,24,0,0,11,28,5,2,2,1,0,0,0,3,3,67,130,12,7,1,4,25,6,13,6,3,0,3,10,6,16,2,11,6,55,1,4,3,12,16,77,4,5,4,26,0,0,12,79,3,14,16,78,3,43,4,106,0,0,13,77,3,5,11,190,11,48,59,441,12,51,18,189,9,75,13,11,6,5,57,9,97,7,24,12,102,2,5,3,23,5,1,0,220,11,99,1,0,0,18,2,11,4.5,6,16.5,44,4,4,4,2,8,7,0,0,1,0,2,0,1,66,84
8476,4238,NYG,30,3,17,7,3,11,18,1,208,36,294,42,24,2,0,1,3,107,1,5,0,0,1,0,10,32,3,1,2,0,3,3,100,5,2,102,90,27,14,9,4,21,9,8,4,1,4,5,30,9,55,4,13,10,44,5,19,2,43,21,130,10,58,5,20,0,0,11,66,13,91,10,61,4,0,2,66,2,18,7,54,14,103,8,67,13,78,60,419,16,148,16,93,12,53,5,12,7,12,104,10,44,4,11,15,61,7,27,9,13,8,0,0,352,12,107,0,3,0,13,3,4.5,9,4.5,17,61,6,5,6,1,5,0,1,1,0,1,0,0,0,84,66
8477,4239,DET,24,7,3,7,7,4,18,0,70,25,282,39,28,4,0,0,3,143,0,0,4,64,3,47,21,32.5,3,0,3,0,1,2,59,2,2,23,117,10,6,3,1,23,9,11,3,2,4,3,20,3,9,0,0,5,12,0,0,5,26,12,32,5,27,1,12,3,14,10,63,8,69,14,85,3,56,0,0,4,25,21,171,2,9,7,25,9,93,49,318,16,90,18,171,9,21,7,16,5,3,23,9,48,4,12,11,94,1,3,3,17,16,0,0,226,10,134,0,1,0,10.5,5,11.5,4,3,10,2,1,1,6,2,3,0,1,1,0,1,0,0,1,65,52
8478,4239,CHI,20,0,0,10,10,6,10,0,108,25,234,23,17,4,3,0,2,102,2,9,4,116,0,0,15,27.5,2,0,2,0,2,2,83,2,0,34,148,14,6,5,3,14,5,5,4,2,5,4,23,7,40,0,0,11,43,0,0,1,-3,10,48,11,36,4,24,1,11,7,70,2,46,9,50,2,0,1,34,2,45,0,0,18,193,2,18,3,34,41,408,13,72,6,80,8,82,4,6,7,9,54,6,33,4,22,10,111,1,5,5,2,11,2,1,295,9,102,0,1,0,4,2,8,8.5,4,17.5,12,3,2,4,1,3,0,0,0,0,1,0,1,0,52,65
