uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
42896,4239,CM-2245,0,0,0,0,0,0,0,2,0,0,0,0
42897,4239,EE-0050,0,0,0,0,0,0,0,1,1,1,0,0
42898,4240,SW-0350,0,0,0,0,1,1,3,0,0,0,0,0
42899,4240,LM-1850,0,0,0,0,2,1,3,1,1,10,0,0
42900,4240,LS-1550,0,0,0,0,0,0,0,0,0,0,0,5
42901,4240,DC-0725,1,1,10,0,0,0,0,0,0,0,0,0
42902,4240,AS-1600,2,2,13,0,0,0,0,0,0,0,0,0
42903,4240,DH-1450,0,0,0,0,0,0,0,1,1,15,0,0
42904,4240,CW-1450,0,0,0,0,1,0,-1,1,1,-2,0,0
42905,4241,RH-2350,0,0,0,0,1,0,-1,0,0,0,0,0
42906,4241,PR-0300,1,1,13,0,0,0,0,0,0,0,0,0
42907,4241,DB-4800,0,0,0,0,2,0,2,0,0,0,0,0
42908,4241,AG-0500,0,0,0,0,0,0,0,1,1,13,0,0
42909,4241,CA-0750,0,0,0,0,4,2,17,0,0,0,0,0
42910,4242,CM-2280,0,0,0,0,1,0,0,0,0,0,0,0
42911,4242,RW-3850,2,2,15,0,2,1,9,0,0,0,0,0
42912,4242,BB-3350,0,0,0,0,3,2,4,0,0,0,0,0
42913,4242,DJ-1325,0,0,0,0,1,0,2,0,0,0,0,0
42914,4242,CP-0500,1,1,17,0,0,0,0,0,0,0,0,0
42915,4242,LF-0200,0,0,0,0,0,0,0,1,1,17,0,0
42916,4242,WT-0400,0,0,0,0,0,0,0,1,1,7,0,0
42917,4242,CC-3200,0,0,0,0,0,0,0,1,1,8,0,0
42918,4242,DS-3800,3,0,0,1,0,0,0,0,0,0,0,0
42919,4242,JB-6750,0,0,0,0,0,0,0,1,0,0,0,0
42920,4242,JG-3700,0,0,0,0,0,0,0,1,0,0,0,0
42921,4242,JB-6950,0,0,0,0,0,0,0,1,0,0,0,0
42922,4242,TJ-0300,0,0,0,0,2,0,-2,0,0,0,0,0
42923,4243,CK-0250,3,0,0,0,0,0,0,0,0,0,0,0
42924,4243,JC-4300,0,0,0,0,0,0,0,1,0,0,0,0
42925,4243,TM-0650,0,0,0,0,3,1,8,0,0,0,0,0
42926,4243,WW-0200,0,0,0,0,0,0,0,1,0,0,0,0
42927,4243,MD-0150,0,0,0,0,2,0,0,0,0,0,0,0
42928,4243,BG-0100,6,3,10,0,1,0,0,0,0,0,0,0
42929,4243,QP-0050,0,0,0,0,0,0,0,1,0,0,0,0
42930,4243,VM-0250,0,0,0,0,0,0,0,1,0,0,0,0
42931,4243,BQ-0050,0,0,0,0,0,0,0,1,0,0,0,0
42932,4243,DH-1700,0,0,0,0,3,2,5,1,1,3,0,0
42933,4243,TS-2300,0,0,0,0,0,0,0,1,0,0,0,0
42934,4243,BB-1550,0,0,0,0,0,0,0,1,1,5,0,0
42935,4243,BM-2600,0,0,0,0,0,0,0,1,1,2,0,0
42936,4244,CA-1175,0,0,0,0,4,3,22,0,0,0,0,0
42937,4244,CN-0500,3,3,21,0,3,2,3,0,0,0,0,0
42938,4244,MT-1300,0,0,0,0,2,2,11,0,0,0,0,0
42939,4244,GO-0100,0,0,0,0,0,0,0,1,1,6,0,0
42940,4244,JW-5650,6,2,16,0,2,1,8,0,0,0,0,0
42941,4244,ME-0600,0,0,0,0,0,0,0,2,0,0,0,30
42942,4244,CS-1950,0,0,0,0,0,0,0,1,1,11,0,0
42943,4244,AS-0550,0,0,0,0,0,0,0,2,0,0,0,0
42944,4244,ED-0400,0,0,0,0,0,0,0,1,1,-1,0,0
42945,4244,DF-2200,0,0,0,0,0,0,0,1,1,16,0,0
42946,4244,DD-3050,0,0,0,0,0,0,0,1,1,5,0,0
42947,4245,AR-1300,7,4,25,1,0,0,0,0,0,0,0,0
42948,4245,JJ-4200,0,0,0,0,0,0,0,4,1,8,0,0
42949,4245,JK-2200,0,0,0,0,0,0,0,1,1,1,0,0
42950,4245,AP-0700,0,0,0,0,4,3,13,0,0,0,0,0
42951,4245,TB-2650,1,0,0,0,0,0,0,0,0,0,0,0
42952,4245,RR-1050,0,0,0,0,0,0,0,1,1,16,0,0
42953,4245,RC-1500,0,0,0,0,0,0,0,1,1,0,0,0
42954,4246,JG-3850,0,0,0,0,1,1,8,0,0,0,0,0
42955,4246,BH-1900,2,0,0,1,0,0,0,0,0,0,0,0
42956,4246,DH-3950,0,0,0,0,0,0,0,1,0,0,0,0
42957,4246,AB-1975,0,0,0,0,1,1,3,1,0,0,0,0
42958,4246,JW-1100,0,0,0,0,1,0,-1,0,0,0,0,0
42959,4246,SW-0350,0,0,0,0,4,1,5,0,0,0,0,0
42960,4246,AS-1600,2,2,12,0,0,0,0,0,0,0,0,0
42961,4246,CC-3950,0,0,0,0,0,0,0,1,1,9,0,0
42962,4246,CW-1450,0,0,0,0,1,1,6,0,0,0,0,0
42963,4246,KD-0450,0,0,0,0,1,0,1,0,0,0,0,0
42964,4246,FH-0100,0,0,0,0,0,0,0,1,1,3,0,0
42965,4247,BR-1100,4,1,10,0,0,0,0,0,0,0,0,0
42966,4247,AB-3500,0,0,0,0,0,0,0,2,0,0,0,0
42967,4247,FT-0300,0,0,0,0,2,0,0,0,0,0,0,0
42968,4247,JT-3000,0,0,0,0,2,1,3,0,0,0,0,0
42969,4247,DH-2800,0,0,0,0,0,0,0,1,0,0,0,0
42970,4247,MB-4550,0,0,0,0,0,0,0,1,1,10,0,0
42971,4247,JH-4025,0,0,0,0,2,2,4,0,0,0,0,0
42972,4248,AP-0700,0,0,0,0,7,1,12,0,0,0,0,0
42973,4248,TB-2650,3,2,13,0,0,0,0,0,0,0,0,0
42974,4248,JM-3450,0,0,0,0,0,0,0,2,1,7,0,0
42975,4248,SD-0537,0,0,0,0,0,0,0,1,1,6,0,0
42976,4248,CM-2280,0,0,0,0,1,0,1,0,0,0,0,0
42977,4248,RW-3850,1,1,3,0,0,0,0,0,0,0,0,0
42978,4248,DB-0500,0,0,0,0,0,0,0,1,1,3,0,0
42979,4249,KC-2350,9,5,32,0,1,1,3,0,0,0,0,5
42980,4249,DJ-0200,0,0,0,0,0,0,0,1,1,14,0,0
42981,4249,AM-2850,0,0,0,0,2,0,-1,0,0,0,0,0
42982,4249,PG-0100,0,0,0,0,0,0,0,2,0,0,0,0
42983,4249,RC-1500,0,0,0,0,1,1,7,3,1,12,0,0
42984,4249,AR-1300,4,2,22,0,0,0,0,0,0,0,0,0
42985,4249,DA-0212,0,0,0,0,0,0,0,1,1,10,0,0
42986,4249,JC-5680,0,0,0,0,0,0,0,1,1,4,0,0
42987,4249,JS-6200,0,0,0,0,4,1,10,0,0,0,0,0
42988,4249,EL-0010,0,0,0,0,1,1,2,0,0,0,0,0
42989,4249,JR-1150,0,0,0,0,0,0,0,3,1,6,0,5
42990,4249,CT-1220,0,0,0,0,0,0,0,1,1,6,0,0
42991,4249,RR-1150,0,0,0,0,0,0,0,1,1,2,0,0
42992,4250,TB-2300,7,5,26,0,2,2,11,0,0,0,0,0
42993,4250,JE-0100,0,0,0,0,0,0,0,2,0,0,0,0
42994,4250,RG-2200,0,0,0,0,0,0,0,4,4,29,0,0
42995,4250,CW-1450,0,0,0,0,3,2,4,0,0,0,0,0
42996,4250,AS-1600,11,4,39,0,1,1,2,0,0,0,0,5
42997,4250,TK-0150,0,0,0,0,0,0,0,3,1,6,0,0
42998,4250,SJ-0200,0,0,0,0,3,2,14,0,0,0,0,0
42999,4250,BB-2250,0,0,0,0,0,0,0,1,1,-3,0,0
43000,4250,KD-0450,0,0,0,0,1,0,3,0,0,0,0,0
43001,4250,CC-3950,0,0,0,0,0,0,0,3,0,0,0,0
43002,4250,AW-1650,0,0,0,0,0,0,0,2,2,29,0,0
43003,4250,JA-2900,0,0,0,0,0,0,0,1,1,4,0,0
43004,4251,CP-0500,15,8,51,1,0,0,0,0,0,0,0,0
43005,4251,JB-6950,0,0,0,0,1,0,2,2,0,0,0,0
43006,4251,DJ-1325,0,0,0,0,1,1,2,6,4,21,0,0
43007,4251,JN-0625,0,0,0,0,0,0,0,1,1,8,0,0
43008,4251,MF-0950,0,0,0,0,0,0,0,3,2,17,0,0
43009,4251,AR-1300,7,2,4,0,1,0,2,0,0,0,0,0
43010,4251,JA-0050,0,0,0,0,0,0,0,2,0,0,0,0
43011,4251,EL-0010,0,0,0,0,1,0,0,0,0,0,0,0
43012,4251,JJ-0775,0,0,0,0,0,0,0,2,1,8,0,0
