pid,punter,pgro,pnet,ptb,pr,pry,pfc
696496,JB-3275,52,10,0,OB-0150,42,0
696513,BC-2000,57,57,0,,0,0
696518,JB-3275,27,27,0,,0,0
696538,BC-2000,35,28,0,MW-1250,7,0
696550,BC-2000,48,36,0,MW-1250,12,0
696554,JB-3275,27,27,0,,0,0
696563,JB-3275,50,50,0,,0,0
696582,BC-2000,45,44,0,MW-1250,1,0
696596,BC-2000,51,51,0,MW-1250,0,0
696600,JB-3275,43,43,0,JN-1900,0,1
696619,JB-3275,39,19,1,,0,0
696624,BC-2000,39,19,1,,0,0
696668,RA-0850,47,48,0,JN-1900,-1,0
696686,RA-0850,55,39,0,JN-1900,16,0
696690,BC-2000,50,22,0,DA-0900,28,0
696694,RA-0850,45,45,0,JN-1900,0,1
696707,BC-2000,26,26,0,DA-0900,0,1
696734,BC-2000,49,49,0,,0,0
696742,BC-2000,48,48,0,DA-0900,0,1
696747,RA-0850,39,39,0,,0,0
696760,BC-2000,53,52,0,DA-0900,1,0
696777,BC-2000,38,38,0,DA-0900,0,1
696782,RA-0850,52,52,0,,0,0
696786,BC-2000,53,53,0,,0,0
696793,RA-0850,43,37,0,JN-1900,6,0
696820,BC-2000,54,51,0,DA-0900,3,0
696834,BC-2000,52,36,0,JE-0100,16,0
696850,DB-6350,49,43,0,TG-0900,6,0
696867,DB-6350,52,20,0,TG-0900,32,0
696882,DB-6350,43,43,0,TG-0900,0,1
696898,BN-0700,44,42,0,PP-0400,2,0
696915,BN-0700,34,34,0,PP-0400,0,0
696947,DB-6350,51,51,0,TG-0900,0,1
696973,BN-0700,41,41,0,PP-0400,0,1
697024,BN-0700,47,47,0,ES-0200,0,1
697028,BC-2000,50,51,0,TG-0900,-1,0
697041,BN-0700,36,36,0,JN-1900,0,1
697045,BC-2000,47,49,0,TG-0900,-2,0
697062,BC-2000,43,43,0,,0,0
697066,BN-0700,28,-33,0,JN-1900,61,0
697084,BN-0700,61,41,1,,0,0
697088,BC-2000,53,53,0,TG-0900,0,1
697127,BC-2000,54,51,0,TG-0900,3,0
697134,BN-0700,46,46,0,JN-1900,0,1
697151,BC-2000,44,44,0,TG-0900,0,1
697156,BN-0700,40,40,0,JN-1900,0,1
697160,BC-2000,48,48,0,,0,0
697173,BN-0700,57,57,0,,0,0
697177,BC-2000,28,28,0,,0,0
