uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
88075,4232,JJ-4700,0,0,0,0,0,0,0,0,0,11,9,149,0,0,0,0,0,0,0,58,14.9,19.4,26.9,2,5,2015,ATL,LWR,11,1
88076,4232,JT-0300,0,0,0,0,0,0,0,0,0,5,4,61,0,0,0,0,0,0,0,53,6.1,8.1,10.1,2,8,2015,ATL,TE,83,1
88077,4232,BW-0700,0,0,0,0,0,0,0,0,0,10,6,59,1,0,0,0,0,0,0,62,11.9,14.9,17.9,2,12,2015,NO,TE,82,1
88078,4232,JH-4070,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,34,0.4,0.9,1.4,2,3,2015,NO,TE,89,1
88079,4232,TM-3000,0,0,0,0,0,0,0,0,0,3,2,47,1,0,0,0,0,0,0,11,10.7,11.7,12.7,2,6,2015,ATL,TE,81,3
88080,4232,JH-1350,0,0,0,0,0,0,0,0,0,6,4,34,0,0,0,0,0,0,0,45,3.4,5.4,7.4,2,1,2015,ATL,LWR,16,2
88081,4232,WS-0925,0,0,0,0,0,0,0,0,0,4,3,35,0,0,0,0,0,0,0,52,3.5,5,6.5,2,2,2015,NO,LWR,83,2
88082,4232,RW-2200,0,0,0,0,0,0,0,0,0,4,1,10,0,0,0,0,0,0,0,55,1,1.5,2,2,11,2015,ATL,RWR,84,1
88083,4232,MH-3300,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,20,0.4,0.9,1.4,2,6,2015,NO,TE,84,2
88084,4232,PD-0700,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,19,0.7,1.2,1.7,1,5,2015,ATL,FB,42,1
88085,4233,AM-1150,27,17,160,0,2,3,0,2,0,0,0,0,0,0,0,0,0,5,0,61,14.6,14.6,14.6,2,2,2015,CIN,QB,5,1
88086,4233,TE-0300,0,0,0,0,0,0,0,0,0,4,4,51,1,0,0,0,0,0,0,37,11.1,13.1,15.1,1,3,2015,CIN,TE,85,1
88087,4233,JH-4025,0,0,0,0,0,16,11,96,1,3,2,19,0,0,0,0,0,0,0,37,17.5,18.5,19.5,2,2,2015,CIN,RB,32,1
88088,4233,AG-1500,0,0,0,0,0,0,0,0,0,5,4,34,1,0,0,0,0,5,0,52,9.4,11.4,13.4,2,5,2015,CIN,LWR,18,1
88089,4233,KC-1250,0,0,0,0,0,0,0,0,0,0,0,0,0,12,136,0,0,0,0,0,0,0,0,2,1,2015,BAL,LWR,81,2
88090,4233,JA-1025,0,0,0,0,0,15,6,38,0,10,6,32,0,0,0,0,0,0,0,49,7,10,13,2,1,2015,BAL,RB,37,1
88091,4233,RM-0300,56,30,292,2,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,80,12.08,14.08,12.08,2,5,2015,BAL,QB,7,3
88092,4233,MW-2450,0,0,0,0,0,0,0,0,0,10,6,53,0,0,0,0,0,0,0,75,5.3,8.3,11.3,2,1,2015,BAL,TE,87,1
88093,4233,MS-0150,0,0,0,0,0,2,1,11,0,2,1,6,0,0,0,0,0,0,0,30,1.7,2.2,2.7,2,4,2015,CIN,RWR,12,1
88094,4233,GB-0350,0,0,0,0,0,6,2,36,0,3,1,12,0,0,0,0,0,0,0,21,4.8,5.3,5.8,2,3,2015,CIN,RB,25,2
88095,4233,KA-0400,0,0,0,0,0,0,0,0,0,13,5,76,0,0,0,0,0,0,0,74,7.6,10.1,12.6,2,5,2015,BAL,LWR,11,1
88096,4233,TW-1350,0,0,0,0,0,5,1,17,0,2,1,5,0,0,0,0,0,0,0,13,2.2,2.7,3.2,2,2,2015,BAL,RB,42,2
88097,4233,JB-8550,0,0,0,0,0,0,0,0,0,8,6,57,0,0,0,0,0,0,0,65,5.7,8.7,11.7,2,2,2015,BAL,RWR,17,2
88098,4233,CG-1060,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,37,0,0,0,2,4,2015,BAL,RWR,13,1
88099,4233,RB-4670,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,2015,CIN,RB,33,4
88100,4233,MJ-2250,0,0,0,0,0,0,0,0,0,5,5,38,0,0,0,0,0,0,0,54,3.8,6.3,8.8,2,4,2015,CIN,RWR,82,2
88101,4233,CP-0800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,1,7,2015,CIN,RB,30,3
88102,4233,CM-0850,0,0,0,0,0,0,0,0,0,5,4,51,0,0,0,0,0,0,0,39,5.1,7.1,9.1,2,5,2015,BAL,LWR,13,4
88103,4233,KJ-1400,0,0,0,0,0,0,0,0,0,2,2,18,1,0,0,0,0,5,0,38,7.8,8.8,9.8,2,3,2015,BAL,FB,44,1
88104,4234,MW-1250,0,0,0,0,0,0,0,0,0,5,3,57,1,2,39,0,0,0,0,41,11.7,13.2,14.7,2,3,2015,PIT,RWR,11,1
88105,4234,BR-1100,36,24,349,2,3,2,0,-2,0,0,0,0,0,0,0,0,0,0,1,54,23.76,25.76,26.76,2,12,2015,PIT,QB,7,1
88106,4234,DH-2800,0,0,0,0,0,0,0,0,0,5,2,74,0,0,0,0,0,0,0,30,7.4,8.4,9.4,2,7,2015,PIT,RWR,88,2
88107,4234,AB-3500,0,0,0,0,0,0,0,0,0,17,13,187,1,2,5,0,1,0,0,54,22.7,29.2,39.7,2,6,2015,PIT,LWR,84,1
88108,4234,DW-3600,0,0,0,0,0,5,1,8,0,2,2,13,0,0,0,0,0,0,0,21,2.1,3.1,4.1,2,10,2015,PIT,RB,34,1
88109,4234,AD-0680,46,24,240,2,0,3,2,22,0,0,0,0,0,0,0,0,1,0,0,83,5.8,7.8,6.8,1,4,2015,CLE,QB,7,1
88110,4234,TB-1060,0,0,0,0,0,1,0,0,0,11,5,53,0,1,12,0,0,0,0,80,5.3,7.8,10.3,1,4,2015,CLE,RWR,11,1
88111,4234,IC-0300,0,0,0,0,0,15,7,53,0,0,0,0,0,0,0,0,0,0,0,45,5.3,5.3,5.3,1,2,2015,CLE,RB,34,1
88112,4234,GB-0200,0,0,0,0,0,0,0,0,0,13,8,66,0,0,0,0,0,0,0,79,6.6,10.6,14.6,1,8,2015,CLE,TE,82,1
88113,4234,MB-4550,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,12,0,0.5,1,2,2,2015,PIT,LWR,10,2
88114,4234,HM-0200,0,0,0,0,0,0,0,0,0,4,3,18,1,0,0,0,0,0,0,54,7.8,9.3,10.8,2,11,2015,PIT,TE,83,1
